defaultAttribution,defaultDeadweight,defaultDisplacement,defaultLeakage,defaultQuantity,defaultYearlyDropoff,financialProxyValue,indicatorName,nameOfField,outcomeIntendedness,outcomePolarity,proxyDescription,proxyName,sourceCitation,sourceCountry,sourceUrl,sourceYear,unitOfMeasurement
0,0,0,0,1,0,6667,Increased confidence through Professional Vocation Qualification/For Over 50’s),SKILLS Increased business skills as a result of increased certified digital Skills,Intended,Positive,This outcome relates to an individual enrolling on a government training scheme,"Value of confidence for over 50's in obtaining Professional Vocation Qualification ",Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,295,Reduction in hospitalisation,Care and well being (focus on Senior Citizens),Intended,Positive,"Weighted
average of several EU MS costs, does not include medical costs (drugs or
medical intervention)",overnight cost of hospital care (not including treatment ,Citation in APA format,EU,http://seroi.plus/,2022,EUR per night
0,0,0,0,1,0,150,Accident and emergency admission,Care and well being (focus on Senior Citizens),Intended,Positive,"Weighted average of EU MS costs, does not include medical costs (drugs or medical intervention)",Average cost of accident and emergency admission ,Citation in APA format,EU,http://seroi.plus/,2022,EUR per admission
0,0,0,0,1,0,150,Reduction in home Medical Visits by doctor,Care and well being (focus on Senior Citizens),Intended,Positive,"Weighted average of EU home visit by doctor, does not include medical costs (drugs or medical intervention)",Cost home visit by medical doctor,Citation in APA format,EU,http://seroi.plus/,2022,EUR per home visit
0,0,0,0,1,0,1000,Senior well-being due to increased confidence/sense of security,Care and well being (focus on Senior Citizens),Intended,Positive,Weekly cost of temporary residential care as a measure of Senior well-being due to increased confidence/sense of security (assumes previous sense of insecurity),Weekly cost of temporary residential care,Citation in APA format,EU,http://seroi.plus/,2022,EUR per week
0,0,0,0,1,0,94,"Well-being, personal reduction in use of prescribed drugs for anxiety",Care and well being (focus on Senior Citizens),Intended,Positive,(Cost of prescribing drugs - Here you can take anti-depressants as an example),Cost of prescribed drugs for anxiety,Citation in APA format,EU,http://seroi.plus/,2022,Eur per month
0,0,0,0,1,0,3305,Self-Confidence (personal capacity of unemployed young people),"Social factors relating to esteem, isolation and confidence",Intended,Positive,the value of confidence in young people relates to the value to the economy of increased self-confidence of unemployed young people ,the value to the economy of increased self-confidence of unemployed young people,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,1200,Self-Esteem(gaining),"Social factors relating to esteem, isolation and confidence",Intended,Positive,cost of courses/support initiatives designed to increase self-esteem - from health service data,cost of self-esteem and support programme,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,8000,Reducing Isolation,"Social factors relating to esteem, isolation and confidence",Intended,Positive,"Annual value attributed in change from ""seeing friends and relatives once a week"" to ""seeing friends and relatives on most days"". Journal of Socio-Economics Report Source: Linked to WHO's Quality of Life Survey Friendship ",Value of more frequent encounters with friends and family,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,1484,Gaining Self-Esteem,"Social factors relating to esteem, isolation and confidence",Intended,Positive, Those with low self-esteem spend 60% more in debt-led consumption and are willing to pay up to 30% more for status consumption in retail.,Debt reduction through gaining self-esteem,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,1835,Physical illness resulting from Stress,"Stress, anxiety",Intended,Positive,National Health Service proxy value for treating stress related physical Illness ,Treatment cost physical illlness resulting from stress ,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,1176,"

Improvement in mental state, incl.
reduced anxiety and distress ","Stress, anxiety",Intended,Positive,This financial proxy has been used to value a decrease in self-harming behaviour ,Value decrease self-harming behaviour,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,829,Stress reduction,"Stress, anxiety",Intended,Positive,Cost of a stress management therapy course (UK) – stress could be measured via a ‘before and after survey’ ,cost stress managment course ,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,3069,Hospital treatment of stress related disorders,"Stress, anxiety",Intended,Positive,average cost of mental health hospital treatment for people with stress related disorders,cost of mental health hospital treatment for stress,Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
0,0,0,0,1,0,"0,2",Reduced cost of paper handling,Reduced admin cost,Intended,Positive,Cost per unit,Paper and printing cost,Citation in APA format,Sweden,http://seroi.plus/,2022,EUR 
0,0,0,0,1,0,"0,3",Reduced cost of paper handling,Reduced admin cost,Intended,Positive,Cost per unit,Postage cost per unit,Citation in APA format,Sweden,http://seroi.plus/,2022,EUR 
0,0,0,0,1,0,"0,2",Reduced cost of paper handling,Reduced admin cost,Intended,Positive,Cost per unit,Envelope cost per unit,Citation in APA format,Sweden,http://seroi.plus/,2022,EUR 
0,0,0,0,1,0,N/A,Number of units sent,Reduced admin cost,Intended,Positive,N/A,Number of units sent,Citation in APA format,Sweden,http://seroi.plus/,2022,Number of units
0,0,0,0,"0,5",0,N/A,Reduced admin time for paper handling,Reduced admin cost,Intended,Positive,N/A,Hour spent per postage unit,Citation in APA format,Sweden,http://seroi.plus/,2022,Hour
0,0,0,0,"0,5",0,N/A,Reduced admin time for scanning and registration,Reduced admin cost,Intended,Positive,N/A,Hour spent per postage unit,Citation in APA format,Sweden,http://seroi.plus/,2022,Hour
0,0,0,0,,0,40,Reduced cost of wages,Reduced admin cost,Intended,Positive,Hourly average cost of wages,Hourly cost of wages,Citation in APA format,Sweden,http://seroi.plus/,2022,EUR 
0,0,0,0,"0,1",0,N/A,Time saving per consent,Reduced admin and improved reach,Intended,Positive,N/A,Hourly saving,Citation in APA format,Sweden,http://seroi.plus/,2022,Hour
0,0,0,0,,0,40,Value of time,Reduced admin and improved reach,Intended,Positive,Hourly average cost of wages,Hourly value of time,Citation in APA format,Sweden,http://seroi.plus/,2022,EUR 
0,0,0,0,1,0,N/A,Number of legal guardians,Reduced admin and improved reach,Intended,Positive,N/A,Number of legal guardians,Citation in APA format,Sweden,http://seroi.plus/,2022,Number of guardians
0,0,0,0,5,0,N/A,Increased service level,Reduced admin and improved reach,Intended,Positive,Percental increase of fulfilled consents,Increase of reach,Citation in APA format,Sweden,http://seroi.plus/,2022,Percent
0,0,0,0,"0,05",0,N/A,Time saving per consent/pupil,Reduced admin time,Intended,Positive,N/A,Hourly saving,Citation in APA format,Sweden,http://seroi.plus/,2022,Hour
0,0,0,0,,0,40,Reduced cost of wages,Reduced admin time,Intended,Positive,Hourly average cost of wages,Hourly cost of wages,Citation in APA format,Sweden,http://seroi.plus/,2022,EUR 
0,0,0,0,,0,N/A,Number of pupils,Reduced admin time,Intended,Positive,N/A,Number of pupils,Citation in APA format,Sweden,http://seroi.plus/,2022,Number of pupils
0,0,0,0,40,0,N/A,Reduced number of sick leave hours per year and nurse,Reduced stress and workload,Intended,Positive,N/A,Sick leave hours,Citation in APA format,Sweden,http://seroi.plus/,2022,Hour
0,0,0,0,,0,40,Reduced cost of wages,Reduced stress and workload,Intended,Positive,Hourly average cost of wages,Hourly cost of wages,Citation in APA format,Sweden,http://seroi.plus/,2022,EUR 
0,0,0,0,1,0,N/A,Number of school nurses,Reduced stress and workload,Intended,Positive,N/A,Number of school nurses,Citation in APA format,Sweden,http://seroi.plus/,2022,Number of school nurses
0,0,0,0,2%,0,N/A,Increase of number of vaccinated pupils,Improved patient security and health,Intended,Positive,N/A,Increase of fulfilled vaccinations,Citation in APA format,Sweden,http://seroi.plus/,2022,Percent
0,0,0,0,,0,900,Reduced cost for caregivers,Improved patient security and health,Intended,Positive,Average cost of non-vaccinated person,Value of each vaccinated pupil,Citation in APA format,Sweden,http://seroi.plus/,2021,EUR 
0,0,0,0,,0,N/A,Number of pupils,Improved patient security and health,Intended,Positive,N/A,Number of pupils,Citation in APA format,Sweden,http://seroi.plus/,2022,Number of pupils
0,0,0,0,240,0,N/A,Reduced cost of recruitment and introducing new school nurses,Reduced cost of staff turnover,Intended,Positive,N/A,Number of hours spent per new staff,Citation in APA format,Sweden,http://seroi.plus/,2022,Hour
0,0,0,0,10,0,N/A,Reduction in staff turnover per year,Reduced cost of staff turnover,Intended,Positive,N/A,Staff turnover reduction per year,Citation in APA format,Sweden,http://seroi.plus/,2022,Percent
0,0,0,0,,0,N/A,Number of employed school nurses,Reduced cost of staff turnover,Intended,Positive,N/A,Number of school nurses,Citation in APA format,Sweden,http://seroi.plus/,2022,Number of school nurses
0,0,0,0,1,0,100,Biodiversity protection  - Improve soil health,Improve soil health,Intended,Positive,"Proportion of agricultural area under productive and sustainable agriculture. The purpuse is to ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production.
Formula: 𝐴𝑟𝑒𝑎 𝑢𝑛𝑑𝑒𝑟 𝑝𝑟𝑜𝑑𝑢𝑐𝑡𝑖𝑣𝑒 𝑎𝑛𝑑 𝑠𝑢𝑠𝑡𝑎𝑖𝑛𝑎𝑏𝑙𝑒 𝑎𝑔𝑟𝑖𝑐𝑢𝑙𝑡𝑢𝑟𝑒 (numerator) / 𝐴𝑔𝑟𝑖𝑐𝑢𝑙𝑡𝑢𝑟𝑎𝑙 𝑙𝑎𝑛𝑑 𝑎𝑟𝑒𝑎 (denominator)",Fewer interventions and tillage of soil,Citation in APA format,Slovenia,"https://unstats.un.org/sdgs/metadata/  
Indicator 2.4.1
and https://data.worldbank.org/indicator/AG.LND.AGRI.ZS?view=chart ",2018,%
0,0,0,0,1,0,100,Level of water stress,Reduce use of drinking water,Intended,Positive,Freshwater withdrawal as a proportion of available freshwater resources with purpose to ensure sustainable withdrawals and supply of freshwater snd to address water scarcity. ,Less use of drinking water,Citation in APA format,Slovenia,"https://unstats.un.org/sdgs/metadata/?Text=water&Goal=&Target= 
Indicator 6.4.2
and
https://data.worldbank.org/indicator/ER.H2O.FWTL.ZS?view=chart&locations=SI  
",2017,%
0,0,0,0,1,0,100,Fertilizer consumption ,Reduce use of fertilizers,Intended,Positive,Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. ,Fewer negative effects on the environment due to excessive use of agrochemicals,Citation in APA format,Slovenia,https://data.worldbank.org/indicator/AG.CON.FERT.ZS?view=chart ,2018,kg/hectare of arable land
0,0,0,0,1,0,100,"
Greater earnings due to lower crop loss",Increase earnings of the farm,Intended,Positive,"Agriculture, forestry and fishing value added (annual % growth)
Annual growth rate for agricultural, forestry, and fishing value added based on constant local currency. 
","The greater the amount of crop, the greater the earnings ",Citation in APA format,Slovenia,https://data.worldbank.org/indicator/NV.AGR.TOTL.KD.ZG?locations=SI&view=chart,2020,%
0,0,0,0,100,0,100,Greater earnings due to lower fertilizer expenses,Increase earnings of the farm,Intended,Positive,Less treatnments with fertilisers have direct impact on less costs,Lower expenses,Citation in APA format,"Italy
Spain",https://www.haifa-group.com/complete-haifa-recommendation-fertilization-vineyards,2021,Kg/Ha
0,0,0,0,1,0,1,Lower water consumption,Reduce use of drinking water,Intended,Positive,Lower water consumption,Lower production cost due to lower water consumption,Citation in APA format,Slovenia,"https://agriculture.vic.gov.au/support-and-resources/tools-and-calculators/farm-water-calculator
https://cekin.si/koristno/koliko-stane-voda.html",2015,L/m3
